,DATE,OPEN,HIGH,LOW,CLOSE,ADJ CLOSE,VOLUME,COMPANY
94,2018-12-26,126.0,134.24,125.89,134.18,134.18,39723400,META
95,2018-12-26,20.0,21.8,19.61,21.74,21.74,122446500,TESLA
96,2018-12-27,21.32,21.48,20.1,21.08,21.08,128626500,TESLA
97,2018-12-27,132.44,134.99,129.67,134.52,134.52,31202500,META
98,2018-12-27,72.71,73.45,69.52,73.08,73.08,194440000,AMAZON
99,2018-12-27,38.96,39.19,37.52,39.04,37.47,212468400,APPLE
100,2018-12-28,73.67,75.67,72.45,73.9,73.9,176580000,AMAZON
101,2018-12-28,135.34,135.92,132.2,133.2,133.2,22627600,META
102,2018-12-28,21.54,22.42,21.23,22.26,22.26,149085000,TESLA
103,2018-12-28,39.38,39.63,38.64,39.06,37.49,169165600,APPLE
104,2018-12-31,39.63,39.84,39.12,39.44,37.85,140014000,APPLE
105,2018-12-31,22.52,22.61,21.68,22.19,22.19,94534500,TESLA
106,2018-12-31,134.45,134.64,129.95,131.09,131.09,24625300,META
107,2018-12-31,75.54,76.04,74.35,75.1,75.1,139090000,AMAZON
108,2019-01-02,128.99,137.51,128.56,135.68,135.68,28146200,META
109,2019-01-02,20.41,21.01,19.92,20.67,20.67,174879000,TESLA
110,2019-01-02,73.26,77.67,73.05,76.96,76.96,159662000,AMAZON
111,2019-01-02,38.72,39.71,38.56,39.48,37.89,148158800,APPLE
112,2019-01-03,35.99,36.43,35.5,35.55,34.12,365248800,APPLE
113,2019-01-03,134.69,137.17,131.12,131.74,131.74,22717900,META
114,2019-01-03,76.0,76.9,74.86,75.01,75.01,139512000,AMAZON
115,2019-01-03,20.47,20.63,19.83,20.02,20.02,104478000,TESLA
116,2019-01-04,36.13,37.14,35.95,37.06,35.58,234428400,APPLE
117,2019-01-04,76.5,79.7,75.92,78.77,78.77,183652000,AMAZON
118,2019-01-04,20.4,21.2,20.18,21.18,21.18,110911500,TESLA
119,2019-01-04,134.01,138.0,133.75,137.95,137.95,29002100,META
120,2019-01-07,80.12,81.73,79.46,81.48,81.48,159864000,AMAZON
121,2019-01-07,37.17,37.21,36.47,36.98,35.5,219111200,APPLE
122,2019-01-07,137.56,138.87,135.91,138.05,138.05,20089300,META
123,2019-01-07,21.45,22.45,21.18,22.33,22.33,113268000,TESLA
124,2019-01-08,22.8,22.93,21.8,22.36,22.36,105127500,TESLA
125,2019-01-08,37.39,37.96,37.13,37.69,36.17,164101200,APPLE
126,2019-01-08,83.23,83.83,80.83,82.83,82.83,177628000,AMAZON
127,2019-01-08,139.89,143.14,139.54,142.53,142.53,26263800,META
128,2019-01-09,22.37,22.9,22.1,22.57,22.57,81493500,TESLA
129,2019-01-09,142.95,144.7,141.27,144.23,144.23,22205900,META
130,2019-01-09,82.65,83.39,82.07,82.97,82.97,126976000,AMAZON
131,2019-01-09,37.82,38.63,37.41,38.33,36.79,180396400,APPLE
132,2019-01-10,143.08,144.56,140.84,144.2,144.2,16125000,META
133,2019-01-10,38.12,38.49,37.72,38.45,36.9,143122800,APPLE
134,2019-01-10,22.29,23.03,22.12,23.0,23.0,90846000,TESLA
135,2019-01-10,82.05,83.16,81.08,82.81,82.81,130154000,AMAZON
136,2019-01-11,38.22,38.42,37.88,38.07,36.54,108092800,APPLE
137,2019-01-11,143.15,145.36,142.57,143.8,143.8,12908000,META
138,2019-01-11,22.81,23.23,22.58,23.15,23.15,75586500,TESLA
139,2019-01-11,82.03,83.01,81.81,82.03,82.03,93724000,AMAZON
140,2019-01-14,22.83,22.83,22.27,22.29,22.29,78709500,TESLA
141,2019-01-14,37.71,37.82,37.3,37.5,35.99,129756800,APPLE
142,2019-01-14,80.75,82.41,79.76,80.86,80.86,120118000,AMAZON
143,2019-01-14,142.0,146.57,141.27,145.39,145.39,20520300,META
144,2019-01-15,37.57,38.35,37.51,38.27,36.73,114843600,APPLE
145,2019-01-15,22.33,23.25,22.3,22.96,22.96,90849000,TESLA
146,2019-01-15,81.6,83.76,81.3,83.73,83.73,119970000,AMAZON
147,2019-01-15,146.01,150.68,145.99,148.95,148.95,24069000,META
148,2019-01-16,84.21,85.25,83.79,84.19,84.19,127338000,AMAZON
149,2019-01-16,149.0,149.65,147.0,147.54,147.54,18025700,META
150,2019-01-16,38.27,38.97,38.25,38.74,37.18,122278800,APPLE
151,2019-01-16,22.99,23.47,22.9,23.07,23.07,70375500,TESLA
152,2019-01-17,38.55,39.42,38.31,38.97,37.4,119284800,APPLE
153,2019-01-17,23.08,23.43,22.94,23.15,23.15,55150500,TESLA
154,2019-01-17,84.0,85.01,83.88,84.66,84.66,84178000,AMAZON
155,2019-01-17,146.95,149.0,146.5,148.3,148.3,15787900,META
156,2019-01-18,85.6,85.81,84.58,84.81,84.81,120410000,AMAZON
157,2019-01-18,149.75,152.43,148.55,150.04,150.04,31029600,META
158,2019-01-18,39.38,39.47,38.99,39.21,37.63,135004000,APPLE
159,2019-01-18,21.53,21.81,19.98,20.15,20.15,362262000,TESLA
160,2019-01-22,20.32,20.53,19.7,19.93,19.93,181000500,TESLA
161,2019-01-22,149.2,151.53,146.37,147.57,147.57,22378700,META
162,2019-01-22,84.05,84.09,80.51,81.61,81.61,128336000,AMAZON
163,2019-01-22,39.1,39.18,38.15,38.33,36.78,121576000,APPLE
164,2019-01-23,19.5,19.63,18.78,19.17,19.17,187950000,TESLA
165,2019-01-23,148.28,148.8,143.06,144.3,144.3,20098400,META
